iter	RMSE
0	14.34470833
1	13.54344776
2	12.65916657
3	11.85227709
4	11.12157739
5	10.52180473
6	9.978928434
7	9.514423489
8	9.173845153
9	8.721726148
10	8.312982175
11	7.968728839
12	7.713901401
13	7.421101191
14	7.204556135
15	7.009151104
16	6.813182659
17	6.628852419
18	6.460492749
19	6.330709352
20	6.205637628
21	6.107524527
22	5.997204246
23	5.905366005
24	5.807535351
25	5.74356297
26	5.662306566
27	5.603675593
28	5.54382781
29	5.493781965
30	5.435243219
31	5.397520776
32	5.366898842
33	5.325268365
34	5.304690779
35	5.277739328
36	5.24925695
37	5.223561706
38	5.191934116
39	5.165676421
40	5.149120979
41	5.124064832
42	5.104410816
43	5.092119769
44	5.073320506
45	5.048652963
46	5.028877546
47	5.01123371
48	4.995612818
49	4.98231562
50	4.960798974
51	4.947617022
52	4.935964279
53	4.923780778
54	4.908943083
55	4.89465301
56	4.882928075
57	4.875295216
58	4.857733933
59	4.845589282
60	4.841592515
61	4.831503042
62	4.81741744
63	4.802207728
64	4.793192384
65	4.784544359
66	4.774826473
67	4.76340074
68	4.754679525
69	4.746961343
70	4.735591537
71	4.727196102
72	4.717222065
73	4.712662325
74	4.699910312
75	4.694765299
76	4.678283895
77	4.667228321
78	4.661344829
79	4.658301169
80	4.644704028
81	4.632508662
82	4.617151463
83	4.606980888
84	4.596984738
85	4.587253106
86	4.576588464
87	4.55812406
88	4.548702261
89	4.541648434
90	4.536270829
91	4.531593946
92	4.519232103
93	4.515311507
94	4.509041074
95	4.495446157
96	4.487153338
97	4.477444974
98	4.47348125
99	4.465523781
