iter	Passed	Remaining
0	1	148
1	2	138
2	4	134
3	5	131
4	6	122
5	7	122
6	8	117
7	9	113
8	11	112
9	12	108
10	12	105
11	14	103
12	15	102
13	16	99
14	17	98
15	18	97
16	19	95
17	20	94
18	21	92
19	22	91
20	23	89
21	24	87
22	25	85
23	26	84
24	27	83
25	29	82
26	30	81
27	31	81
28	32	79
29	33	78
30	34	77
31	35	75
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	42	66
39	43	65
40	45	64
41	46	64
42	47	63
43	48	62
44	50	61
45	51	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	66	44
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	91	19
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
